,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,3.1024175,3.0686310000000003,3.0327995,2.9499763999999997,2.864677,2.7775292,2.6892247000000005,2.6004869999999998,2.5120442,2.5937799999999998,3.1138492,3.6679692000000004,3.5605922,3.2551014,2.958124,3.4750156000000003,5.0,2.0,7.0,3.0,4.0,4.0,3.0,2.0,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034,3.160034
1,4.6298385,4.5715547,4.512392500000001,4.472708,4.425989599999999,4.3712597,4.307516000000001,4.233783,4.1491666,4.2435035999999995,4.661791,4.944324,4.895703299999999,4.7484593,4.577255200000001,4.823169999999999,5.2373943,5.110093599999999,4.0173073,4.1518955,4.5973167,4.5973167,4.5973167,4.5973167,3.0,3.0,5.0,5.0,5.0,3.0,6.0,6.0,4.5973167,4.5973167,4.5973167,4.5973167,4.5973167,4.5973167,4.5973167,4.5973167
2,4.541671,4.458846,4.374745,4.2870016,4.1917267,4.0883837,3.9765625,3.8560337999999996,3.7268136,3.8020716,4.287851,4.6562347,4.612449,4.4462943,4.2573915,4.6143947,5.119422,4.939634,3.8412910000000005,3.9054417999999997,4.282237,4.282237,4.282237,4.282237,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,4.282237,4.282237,4.282237,4.282237,4.282237,4.282237,4.282237,4.282237
3,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.2692566,4.3681019999999995,4.7628317000000004,5.021778,4.9704356,4.8263245,4.658456299999999,4.8794203000000005,5.274035,5.1618123,4.0733476,4.2308226,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447,4.696447
4,4.629206,4.570724,4.511357,4.4712819999999995,4.4241567,4.3690023,4.304823000000001,4.230645,4.1455812000000005,4.2397614,4.6587567000000005,4.9420357,4.89349,4.7461233,4.5747843,4.8215427,5.236461,5.1086493,4.015658,4.1495595000000005,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.5943629999999995,4.5943629999999995
5,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.97014,5.0579184999999995,5.373647,5.5719129999999994,5.5214844,5.3807373,5.1973176,5.372256299999999,5.769270400000001,5.598527,4.354779,4.5788426,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516,5.0998516
6,5.2398586,5.178361,5.1163793,5.112641,5.102436,5.084560400000001,5.057667299999999,5.0202875,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.769294,5.598794,4.35578,4.578661,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999,5.099439599999999
7,4.6331739999999995,4.5759463,4.5178709999999995,4.480258,4.4357085,4.3832335,4.3218190000000005,4.2504644,4.168248,4.263418700000001,4.6779017,4.9564676,4.9074349999999995,4.760829,4.5903373,4.831793299999999,5.2423453,5.117789299999999,4.026137,4.164407700000001,4.6131263,4.6131263,4.6131263,4.6131263,6.0,7.0,7.0,7.0,5.0,4.0,6.0,7.0,4.6131263,4.6131263,4.6131263,4.6131263,4.6131263,4.6131263,4.6131263,4.6131263
8,1.0,1.0,1.0,7.0,6.0,6.0,1.0,1.0,4.8207892999999995,4.933964,5.337966000000001,5.5937624,5.536169999999999,5.3504295,5.090765,5.242327700000001,5.7329035,5.521319999999999,4.1571492999999995,4.6193714,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265,5.1800265
9,4.5712557,4.496008,4.419537999999999,4.346625,4.2659764000000004,4.176874,4.078681,3.9708997999999998,3.853241,3.9343233,4.4035816,4.7469335,4.702504599999999,4.5428114,4.3593745,4.6807475,5.1566625,4.990921,3.890427,3.9736432999999995,4.3701425,4.3701425,4.3701425,4.3701425,6.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,4.3701425,4.3701425,4.3701425,4.3701425,4.3701425,4.3701425,4.3701425,4.3701425
10,4.208407,4.1257195,4.0421667,3.9371605000000005,3.8268885999999998,3.7112803,3.5904202000000005,3.4645696000000004,3.3341901,3.4065300000000005,3.9156456,4.344879,4.300754,4.11605,3.9136467000000006,4.354757299999999,1.0,1.0,1.0,1.0,7.0,1.0,5.0,1.0,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997,3.9735633999999997
11,4.911928700000001,4.8554378,4.798258000000001,4.779939,4.755117,4.7226415,4.6812644,4.6296672999999995,1.0,5.0,7.0,5.0,5.0,4.0,1.0,2.0,5.494187,5.356325,4.1927533,4.3797616999999995,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183,4.8730183
12,4.6268706,4.5676575,4.507537999999999,4.466027700000001,4.4174050000000005,4.360698,4.2949209999999995,4.2191160000000005,6.0,4.0,2.0,6.0,6.0,4.0,4.0,4.0,5.2330265,5.103345,4.0096292,4.1410236000000005,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657,4.5835657
13,3.0,5.0,5.0,7.0,4.0,7.0,5.0,4.0,4.1300235,4.2235208,4.645567400000001,4.9320793,4.883854,4.735947,4.5640160000000005,4.8144540000000005,5.2324004,5.102379,4.008535,4.139476999999999,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608,4.581608
